x1_mol,T_K,P_atm,y1_mol
0.975,315.51152379454265,0.2,0.9720528564014554
0.98,315.52343528571566,0.2,0.9773974631156938
0.982,315.5285514507753,0.2,0.9795682292421306
0.984,315.533872404252,0.2,0.9817581822024256
0.986,315.5394007940768,0.2,0.9839675766213997
0.99,315.551090672992,0.2,0.9884457296051021
0.994,315.5636430746319,0.2,0.993004811573729
0.996,315.570249774105,0.2,0.9953153841687937
0.998,315.57708065280394,0.2,0.997647018215568
0.12,344.71898805444954,0.5,0.4118228023676538
0.24,340.41779722518464,0.5,0.5589918862497872
0.26,339.944209085466,0.5,0.5750368274788888
0.28,339.5162298279905,0.5,0.5896521244805369
0.32,338.7745411359581,0.5,0.6154413668183477
0.34,338.45156499196,0.5,0.6269536511665373
0.38,337.88284229831294,0.5,0.6478745171226264
0.52,336.4447177616842,0.5,0.7083371548884658
0.54,336.28700265166395,0.5,0.716231440389618
0.58,335.9967191124842,0.5,0.7319788080924953
0.64,335.6155650753263,0.5,0.7561738266288712
0.7,335.2923382564436,0.5,0.7821444061231776
0.73,335.15219160745926,0.5,0.7962030045532318
0.75,335.06718661041407,0.5,0.8060959773920929
0.76,335.02735472831756,0.5,0.8112209034929299
0.8,334.8873920915345,0.5,0.833102144729183
0.806,334.8692825750721,0.5,0.8365980753433008
0.809,334.86053104850845,0.5,0.8383690721666601
0.812,334.85198553375506,0.5,0.8401557929651909
0.815,334.84364902038544,0.5,0.8419585204794824
0.818,334.8355245764652,0.5,0.8437775420039171
0.821,334.8276153496355,0.5,0.8456131495068888
0.824,334.81992456823014,0.5,0.8474656397542616
0.827,334.81245554242923,0.5,0.8493353144361778
0.83,334.8052116654491,0.5,0.8512224802973397
0.833,334.7981964147693,0.5,0.8531274492708859
0.836,334.79141335339847,0.5,0.8550505386159926
0.842,334.7785584861387,0.5,0.8589523749405038
0.845,334.77249424586677,0.5,0.860931784361661
0.848,334.766677328957,0.5,0.8629306393413494
0.851,334.7611117464766,0.5,0.8649492859728419
0.854,334.75580160348824,0.5,0.866988076587058
0.857,334.7507511006174,0.5,0.8690473699202579
0.86,334.7459645356683,0.5,0.8711275312866809
0.863,334.74144630528906,0.5,0.8732289327563121
0.866,334.7372009066884,0.5,0.8753519533379701
0.869,334.73323293940445,0.5,0.8774969791679016
0.872,334.7295471071287,0.5,0.8796644037041005
0.875,334.7261482195854,0.5,0.8818546279265573
0.878,334.7230411944682,0.5,0.8840680605436639
0.881,334.7202310594376,0.5,0.8863051182050027
0.884,334.71772295417844,0.5,0.888566225720768
0.887,334.71552213252187,0.5,0.890851816288066
0.89,334.7136339646316,0.5,0.8931623317243559
0.893,334.71206393925905,0.5,0.8954982227083103
0.895,334.71119676667644,0.5,0.8970698075642093
0.896,334.71081766606653,0.5,0.8978599490283787
0.899,334.70990087802414,0.5,0.9002479798393518
0.9,334.7096695098836,0.5,0.9010499180225883
0.905,334.7090793207073,0.5,0.9051048799827786
0.91,334.7094543226373,0.5,0.9092369874930222
0.915,334.710823670695,0.5,0.9134486154806513
0.92,334.7132175877505,0.5,0.9177422236743619
0.925,334.7166674027699,0.5,0.9221203607487123
0.93,334.7212055911033,0.5,0.9265856687059938
0.935,334.7268658169379,0.5,0.9311408875118271
0.94,334.7336829780445,0.5,0.935788860002111
0.945,334.7416932529595,0.5,0.9405325370803697
0.95,334.75093415075173,0.5,0.9453749832260668
0.955,334.76144456353643,0.5,0.9503193823361487
0.96,334.77326482190955,0.5,0.9553690439238889
0.965,334.7864367534911,0.5,0.9605274097011308
0.97,334.8010037447758,0.5,0.9657980605722092
0.975,334.8170108065132,0.5,0.9711847240702359
0.98,334.83450464284556,0.5,0.9766912822690845
0.982,334.841929270601,0.5,0.978928376476327
0.984,334.8496027006114,0.5,0.9811855655768119
0.986,334.8575281645468,0.5,0.98346312052593
0.988,334.8657089429361,0.5,0.985761316873183
0.99,334.8741483660305,0.5,0.9880804348633084
0.994,334.89181672128086,0.5,0.9927825808527603
0.996,334.9010525706162,0.5,0.9951661937656212
0.998,334.910560900891,0.5,0.9975718983700657
0.16,354.36272703757913,0.8,0.4704640572043762
0.2,352.8738671322952,0.8,0.5178487606594387
0.26,351.18422293929535,0.8,0.5714560498021077
0.32,349.93928179639755,0.8,0.6119500690857884
0.34,349.59570703036763,0.8,0.6234970560517307
0.4,348.7235541918568,0.8,0.6541493305471594
0.44,348.24561920725284,0.8,0.6722164831543083
0.48,347.8302776367818,0.8,0.6890893402159957
0.6,346.8503427440472,0.8,0.7370325392626603
0.66,346.47051663344894,0.8,0.7618607085260379
0.68,346.35772968517836,0.8,0.7705690595326506
0.71,346.2014547941725,0.8,0.7842039811170454
0.73,346.10613871370816,0.8,0.7937522946280259
0.74,346.06125476102756,0.8,0.7986849876287884
0.76,345.9773044496875,0.8,0.8089051191734011
0.77,345.9383706942689,0.8,0.8142085622199894
0.78,345.9015672816073,0.8,0.8196521835577375
0.8,345.8347137232,0.8,0.8309961516721222
0.803,345.82550052420737,0.8,0.8327538869090048
0.806,345.8165084292363,0.8,0.8345270448163818
0.812,345.7992002469414,0.8,0.838120750266445
0.818,345.782815413643,0.8,0.8417795564808418
0.821,345.7749778283751,0.8,0.8436341079299683
0.824,345.7673815468953,0.8,0.845505826965289
0.83,345.7529276839792,0.8,0.8493020043026736
0.833,345.7460777266072,0.8,0.8512270940130257
0.836,345.7394843239471,0.8,0.853170614406883
0.839,345.7331515241212,0.8,0.8551328949811836
0.842,345.72708347235755,0.8,0.8571142710167355
0.845,345.7212844125463,0.8,0.8591150837330309
0.848,345.71575868884304,0.8,0.8611356804475285
0.851,345.7105107473221,0.8,0.8631764147395758
0.854,345.70554513768053,0.8,0.865237646619134
0.857,345.7008665149955,0.8,0.8673197427004847
0.86,345.69647964153455,0.8,0.8694230763811006
0.863,345.69238938862253,0.8,0.871548028025873
0.866,345.6886007385653,0.8,0.8736949851568883
0.869,345.68511878663344,0.8,0.8758643426489714
0.872,345.68194874310547,0.8,0.8780565029312022
0.875,345.67909593537587,0.8,0.8802718761946281
0.878,345.6765658101261,0.8,0.8825108806064174
0.881,345.67436393556386,0.8,0.884773942530688
0.884,345.672496003731,0.8,0.8870614967562674
0.887,345.6709678328821,0.8,0.8893739867316496
0.89,345.66978536993815,0.8,0.8917118648074273
0.893,345.66895469301403,0.8,0.8940755924864882
0.895,345.66859940710236,0.8,0.8956660039844995
0.896,345.66848201402695,0.8,0.8964656406822692
0.899,345.66837368138386,0.8,0.8988824899853937
0.9,345.6684196536164,0.8,0.8996941467145259
0.905,345.6692761479274,0.8,0.9037985643231989
0.91,345.671200032808,0.8,0.9079816078940177
0.915,345.67422359407783,0.8,0.9122457121317098
0.92,345.678380301382,0.8,0.9165933994438616
0.925,345.6837048511452,0.8,0.9210272842556148
0.93,345.69023321183204,0.8,0.925550077573437
0.935,345.69800267165317,0.8,0.9301645918152385
0.94,345.7070518888643,0.8,0.9348737459254743
0.945,345.7174209448199,0.8,0.939680570795378
0.95,345.72915139995155,0.8,0.944588215010104
0.955,345.7422863528574,0.8,0.9495999509463388
0.96,345.75687050270045,0.8,0.9547191812459118
0.965,345.7729502151289,0.8,0.9599494456930564
0.97,345.79057359195133,0.8,0.965294428525338
0.975,345.8097905448124,0.8,0.970757966210821
0.982,345.8394704858495,0.8,0.9786137333978252
0.984,345.8485634709778,0.8,0.9809039584887785
0.986,345.8579354143405,0.8,0.9832150101926745
0.988,345.8675899562952,0.8,0.9855471724795726
0.99,345.87753079271715,0.8,0.9879007342026618
0.992,345.88776167599707,0.8,0.9902759892070807
0.994,345.89828641606374,0.8,0.9926732364416374
0.996,345.9091088814313,0.8,0.9950927800735252
0.998,345.92023300027046,0.8,0.9975349296061261
0.22,357.921250151076,1.0,0.5359681588076616
0.28,356.3533165979907,1.0,0.5844634306504218
0.36,354.8605642833283,1.0,0.6327319735755723
0.42,354.0311749168666,1.0,0.6618429570581918
0.54,352.81906342686557,1.0,0.7117838868376534
0.58,352.5039596344747,1.0,0.7276768210303962
0.6,352.3590623629796,1.0,0.7356986883650066
0.66,351.96969947491687,1.0,0.7606090153332193
0.68,351.8543150864839,1.0,0.7693483971287367
0.7,351.74609370880654,1.0,0.7783867411055984
0.71,351.69471561160594,1.0,0.7830342052388884
0.72,351.6451998406124,1.0,0.7877762159846645
0.73,351.59758690456704,1.0,0.7926198197991731
0.75,351.50827280319714,1.0,0.8026412956681656
0.76,351.46669443084835,1.0,0.8078346442959253
0.77,351.42726491662876,1.0,0.8131605971028988
0.78,351.390067860005,1.0,0.8186277585725098
0.8,351.3227528453405,1.0,0.8300221955413578
0.806,351.3044988496754,1.0,0.8335691863926301
0.812,351.28718562196053,1.0,0.8371794650958456
0.815,351.2788903633205,1.0,0.8390090560180414
0.818,351.27084075637373,1.0,0.8408553406119186
0.821,351.2630404763808,1.0,0.842718619412006
0.824,351.2554932914614,1.0,0.844599197960386
0.827,351.24820306396003,1.0,0.8464973869397544
0.83,351.241173751855,1.0,0.8484135023101628
0.833,351.2344094102102,1.0,0.8503478654495829
0.836,351.2279141926745,1.0,0.8523008032984295
0.839,351.2216923530262,1.0,0.8542726485081757
0.842,351.215748246766,1.0,0.8562637395942254
0.845,351.2100863327599,1.0,0.8582744210931801
0.848,351.2047111749324,1.0,0.860305043724665
0.851,351.19962744401244,1.0,0.8623559645578895
0.854,351.19483991933265,1.0,0.8644275471831006
0.857,351.1903534906847,1.0,0.8665201618881192
0.86,351.18617316023153,1.0,0.8686341858401451
0.863,351.18230404447837,1.0,0.8707700032730245
0.866,351.1787513763046,1.0,0.8729280056801776
0.869,351.175520507058,1.0,0.8751085920134136
0.872,351.1726169087135,1.0,0.8773121688878311
0.875,351.1700461760985,1.0,0.8795391507930567
0.878,351.16781402918673,1.0,0.8817899603110417
0.881,351.16592631546285,1.0,0.8840650283406787
0.884,351.16438901236023,1.0,0.8863647943294929
0.887,351.16320822977355,1.0,0.8886897065126821
0.89,351.1623902126505,1.0,0.8910402221597851
0.893,351.1619413436626,1.0,0.8934168078292778
0.895,351.1618503954105,1.0,0.8950159163363388
0.896,351.16186814595983,1.0,0.8958199396314015
0.899,351.1621772860108,1.0,0.8982501034995508
0.9,351.1623664698758,1.0,0.8990662506862558
0.905,351.163969979508,1.0,0.9031935219741787
0.91,351.16669362768295,1.0,0.9074001079405426
0.915,351.17057131861105,1.0,0.9116884712354584
0.92,351.17563820043586,1.0,0.9160611635755814
0.925,351.1819307106389,1.0,0.9205208301391962
0.93,351.1894866238886,1.0,0.9250702142159221
0.935,351.19834510248074,1.0,0.9297121621287605
0.94,351.2085467495296,1.0,0.9344496284476074
0.945,351.2201336650792,1.0,0.9392856815148913
0.95,351.23314950531847,1.0,0.9442235093057019
0.955,351.24763954509694,1.0,0.9492664256465874
0.982,351.3534461977248,1.0,0.9784677817548145
0.984,351.3632721884915,1.0,0.9807733251146515
0.986,351.37339104716483,1.0,0.9830999101885985
0.988,351.3838066004447,1.0,0.9854478249002087
0.992,351.4055433913275,1.0,0.9902088199011401
0.994,351.41687257923394,1.0,0.9926225013446818
0.996,351.4285143645473,1.0,0.9950587149657714
0.1,368.20238307213225,1.2,0.36665645651851786
0.14,365.8955568823661,1.2,0.43874600447733475
0.3,360.66640788169116,1.2,0.5966141529724455
0.32,360.2685704924098,1.2,0.6090552908694047
0.34,359.9052416090785,1.2,0.620630065075431
0.5,357.8422796042083,1.2,0.6946236096998573
0.58,357.1578395403925,1.2,0.726586015884648
0.64,356.7371538176377,1.2,0.7510902328192588
0.66,356.6121643611371,1.2,0.7596034139967758
0.7,356.3843590914878,1.2,0.777432604924463
0.72,356.28176743889026,1.2,0.7868508008881671
0.73,356.23341266215084,1.2,0.79170963508491
0.74,356.18708405038404,1.2,0.7966779976173584
0.75,356.1428415050529,1.2,0.8017635157867161
0.76,356.10075381822446,1.2,0.8069741297740445
0.77,356.06089891916554,1.2,0.8123181229131409
0.79,355.9882466217243,1.2,0.8234412935247436
0.8,355.9556535063701,1.2,0.8292390593205975
0.803,355.94638514759623,1.2,0.8310111939113246
0.812,355.9200404933361,1.2,0.8364225341719246
0.815,355.91175757870207,1.2,0.8382589209364099
0.818,355.9037301288447,1.2,0.8401121033915366
0.821,355.89596197335413,1.2,0.8419823842682732
0.824,355.8884570382447,1.2,0.8438700713593648
0.827,355.88121934738365,1.2,0.8457754776540093
0.836,355.86115147800257,1.2,0.8516012225321824
0.839,355.855025012386,1.2,0.8535807443892562
0.842,355.84918743133835,1.2,0.8555796333261182
0.845,355.8436433784377,1.2,0.8575982365582633
0.848,355.83839760644327,1.2,0.859636907553105
0.851,355.83345497912075,1.2,0.861696006198672
0.854,355.82882047312415,1.2,0.8637758989772819
0.857,355.8244991799356,1.2,0.8658769591443742
0.86,355.82049630786497,1.2,0.8679995669126968
0.863,355.816817184111,1.2,0.8701441096420401
0.866,355.8134672568865,1.2,0.8723109820347309
0.869,355.81045209760765,1.2,0.8745005863370967
0.872,355.80777740315244,1.2,0.8767133325471231
0.875,355.80544899818756,1.2,0.8789496386285487
